address,year_built,price,bed,bath,area,type,url
"710 E 5th St, Tucson, AZ 85719",1936,330000,2,1,903,Single Family,/homedetails/710-E-5th-St-Tucson-AZ-85719/8500554_zpid/
"3543 N Flowing Wells Rd, Tucson, AZ 85705",1943,260000,2,1,1253,Single Family,/homedetails/3543-N-Flowing-Wells-Rd-Tucson-AZ-85705/239335974_zpid/
"2938 E 21st St, Tucson, AZ 85716",1948,310000,3,1,1256,Single Family,/homedetails/2938-E-21st-St-Tucson-AZ-85716/8513748_zpid/
"5510-12 E Lester St, Tucson, AZ 85712",1950,270000,4,2,1634,Multi Family,/homedetails/5510-12-E-Lester-St-Tucson-AZ-85712/2056452732_zpid/
"5510 E Lester St, Tucson, AZ 85712",1950,270000,4,2,1634,Single Family,/homedetails/5510-E-Lester-St-Tucson-AZ-85712/8493010_zpid/
"2220 E 35th St, Tucson, AZ 85713",1951,214999,3,1,1070,Single Family,/homedetails/2220-E-35th-St-Tucson-AZ-85713/8515378_zpid/
"3638 S Liberty Ave, Tucson, AZ 85713",1951,129900,1,1,766,Single Family,/homedetails/3638-S-Liberty-Ave-Tucson-AZ-85713/8488472_zpid/
"802 S Erin Ave, Tucson, AZ 85711",1952,299000,4,2,1490,Single Family,/homedetails/802-S-Erin-Ave-Tucson-AZ-85711/8507481_zpid/
"3737 N Park Ave, Tucson, AZ 85719",1952,350000,3,1,1151,Single Family,/homedetails/3737-N-Park-Ave-Tucson-AZ-85719/8460125_zpid/
"3431 E Hawthorne St, Tucson, AZ 85716",1952,499500,3,2,1336,Single Family,/homedetails/3431-E-Hawthorne-St-Tucson-AZ-85716/8503529_zpid/
"5038 E 3rd St, Tucson, AZ 85711",1953,500000,4,2,2178,Single Family,/homedetails/5038-E-3rd-St-Tucson-AZ-85711/8508653_zpid/
"1926 E Granito Vis, Tucson, AZ 85713",1953,359900,4,2,2936,Single Family,/homedetails/1926-E-Granito-Vis-Tucson-AZ-85713/8521850_zpid/
"3437 S Jetty Ave, Tucson, AZ 85713",1953,235500,3,1,1128,Single Family,/homedetails/3437-S-Jetty-Ave-Tucson-AZ-85713/8488583_zpid/
"653 S Erin Ave, Tucson, AZ 85711",1954,295000,3,2,1193,Single Family,/homedetails/653-S-Erin-Ave-Tucson-AZ-85711/8507533_zpid/
"6034 E 15th St, Tucson, AZ 85711",1956,250000,4,2,1500,Single Family,/homedetails/6034-E-15th-St-Tucson-AZ-85711/8510067_zpid/
"3814 E Lee St, Tucson, AZ 85716",1956,289000,3,1,918,Single Family,/homedetails/3814-E-Lee-St-Tucson-AZ-85716/8497653_zpid/
"5531 W Iowa St, Tucson, AZ 85757",1956,299000,2,2,1810,Single Family,/homedetails/5531-W-Iowa-St-Tucson-AZ-85757/8591680_zpid/
"3240 E Hardy Pl, Tucson, AZ 85716",1957,299000,3,2,1400,Single Family,/homedetails/3240-E-Hardy-Pl-Tucson-AZ-85716/8455055_zpid/
"7009 E Calle Osito, Tucson, AZ 85710",1958,319876,3,2,1450,Single Family,/homedetails/7009-E-Calle-Osito-Tucson-AZ-85710/8544312_zpid/
"4223 E Waverly St, Tucson, AZ 85712",1958,325000,3,2,1633,Single Family,/homedetails/4223-E-Waverly-St-Tucson-AZ-85712/8495555_zpid/
"4825 E Linden St, Tucson, AZ 85712",1958,329000,3,2,1210,Single Family,/homedetails/4825-E-Linden-St-Tucson-AZ-85712/8494426_zpid/
"6052 E Sylvane St, Tucson, AZ 85711",1959,290000,4,2,1850,Single Family,/homedetails/6052-E-Sylvane-St-Tucson-AZ-85711/8519943_zpid/
"1046 W Simmons St, Tucson, AZ 85705",1959,280000,3,2,1309,Single Family,/homedetails/1046-W-Simmons-St-Tucson-AZ-85705/8436718_zpid/
"541 W Bilby Rd, Tucson, AZ 85706",1959,275000,4,2,1397,Single Family,/homedetails/541-W-Bilby-Rd-Tucson-AZ-85706/8568973_zpid/
"3660 N Nufer Pl, Tucson, AZ 85705",1959,300000,4,2,1596,Single Family,/homedetails/3660-N-Nufer-Pl-Tucson-AZ-85705/8436830_zpid/
"1110 W Farr St, Tucson, AZ 85705",1960,239000,3,2,1040,Single Family,/homedetails/1110-W-Farr-St-Tucson-AZ-85705/8437094_zpid/
"3714 E Garden St, Tucson, AZ 85713",1960,242000,3,2,1138,Single Family,/homedetails/3714-E-Garden-St-Tucson-AZ-85713/8515771_zpid/
"5856 W Lazy Heart St, Tucson, AZ 85713",1961,183900,2,2,1200,Manufactured,/homedetails/5856-W-Lazy-Heart-St-Tucson-AZ-85713/8594954_zpid/
"8012 E Kenyon Dr, Tucson, AZ 85710",1962,299000,4,2,1623,Single Family,/homedetails/8012-E-Kenyon-Dr-Tucson-AZ-85710/8539718_zpid/
"274 W Hatfield St, Tucson, AZ 85706",1963,225000,3,2,1280,Single Family,/homedetails/274-W-Hatfield-St-Tucson-AZ-85706/111912036_zpid/
"2531 S Calle Yucatan, Tucson, AZ 85710",1963,250000,3,2,1458,Single Family,/homedetails/2531-S-Calle-Yucatan-Tucson-AZ-85710/8545325_zpid/
"2220 S Pebble Beach Ave, Tucson, AZ 85710",1963,315000,3,2,1803,Single Family,/homedetails/2220-S-Pebble-Beach-Ave-Tucson-AZ-85710/8546429_zpid/
"7650 E 38th St, Tucson, AZ 85730",1968,359000,3,2,1982,Single Family,/homedetails/7650-E-38th-St-Tucson-AZ-85730/8552336_zpid/
"650 S Woodstock Dr, Tucson, AZ 85710",1968,425000,4,2,2026,Single Family,/homedetails/650-S-Woodstock-Dr-Tucson-AZ-85710/8538227_zpid/
"5905 S Saddle Ridge Ln, Tucson, AZ 85746",1970,295000,2,2,1017,Single Family,/homedetails/5905-S-Saddle-Ridge-Ln-Tucson-AZ-85746/8563805_zpid/
"8900 E Lee St, Tucson, AZ 85715",1970,449000,4,3,2245,Single Family,/homedetails/8900-E-Lee-St-Tucson-AZ-85715/8524346_zpid/
"1401 N Grady Ave, Tucson, AZ 85715",1970,370000,3,2,1761,Single Family,/homedetails/1401-N-Grady-Ave-Tucson-AZ-85715/8526697_zpid/
"5450 S Caballo Rd, Tucson, AZ 85746",1971,495000,3,2,2277,Single Family,/homedetails/5450-S-Caballo-Rd-Tucson-AZ-85746/8563156_zpid/
"2300 S Kevin Dr, Tucson, AZ 85748",1972,299000,3,2,1125,Single Family,/homedetails/2300-S-Kevin-Dr-Tucson-AZ-85748/8548379_zpid/
"2518 S Palm Springs Dr, Tucson, AZ 85710",1972,395000,4,2,1570,Single Family,/homedetails/2518-S-Palm-Springs-Dr-Tucson-AZ-85710/8547084_zpid/
"715 W Acadia Dr, Tucson, AZ 85756",1972,285000,4,2,1559,Single Family,/homedetails/715-W-Acadia-Dr-Tucson-AZ-85756/8570720_zpid/
"4099 S Queen Palm Dr, Tucson, AZ 85730",1972,239000,2,2,1027,Townhouse,/homedetails/4099-S-Queen-Palm-Dr-Tucson-AZ-85730/8558612_zpid/
"9621 E Sellarole Rd, Tucson, AZ 85730",1973,349500,4,2,1650,Single Family,/homedetails/9621-E-Sellarole-Rd-Tucson-AZ-85730/8549454_zpid/
"3732 W Rudolf Dr, Tucson, AZ 85741",1974,375000,3,2,1671,Single Family,/homedetails/3732-W-Rudolf-Dr-Tucson-AZ-85741/8634925_zpid/
"2010 E Pinon Dr, Tucson, AZ 85706",1974,350000,3,2,1188,Single Family,/homedetails/2010-E-Pinon-Dr-Tucson-AZ-85706/8575041_zpid/
"519 W Lincoln St, Tucson, AZ 85714",1975,328000,5,2,1765,Single Family,/homedetails/519-W-Lincoln-St-Tucson-AZ-85714/8491786_zpid/
"3801 W Massingale Rd, Tucson, AZ 85741",1978,349900,3,2,1408,Single Family,/homedetails/3801-W-Massingale-Rd-Tucson-AZ-85741/8634339_zpid/
"3242 W Shumaker Dr, Tucson, AZ 85741",1978,309900,3,2,1330,Single Family,/homedetails/3242-W-Shumaker-Dr-Tucson-AZ-85741/8422771_zpid/
"1272 N Dorado Blvd, Tucson, AZ 85715",1978,350000,3,3,2196,Townhouse,/homedetails/1272-N-Dorado-Blvd-Tucson-AZ-85715/8527218_zpid/
"2235 W San Juan Trl, Tucson, AZ 85713",1979,230000,3,2,1076,Manufactured,/homedetails/2235-W-San-Juan-Trl-Tucson-AZ-85713/8486177_zpid/
"3271 W Liberty Tree Ln, Tucson, AZ 85741",1979,355000,4,2,1594,Single Family,/homedetails/3271-W-Liberty-Tree-Ln-Tucson-AZ-85741/111912335_zpid/
"7761 E Lurlene Dr, Tucson, AZ 85730",1979,340000,3,2,1583,Single Family,/homedetails/7761-E-Lurlene-Dr-Tucson-AZ-85730/8552270_zpid/
"905 E Mesquite Dr, Tucson, AZ 85719",1980,220000,2,1,858,Condo,/homedetails/905-E-Mesquite-Dr-Tucson-AZ-85719/8460242_zpid/
"2600 W Vereda De La Tierra, Tucson, AZ 85746",1984,283000,3,2,1066,Single Family,/homedetails/2600-W-Vereda-De-La-Tierra-Tucson-AZ-85746/8571058_zpid/
"3980 N Corte De Eucalipto, Tucson, AZ 85716",1984,338000,3,2,1413,Townhouse,/homedetails/3980-N-Corte-De-Eucalipto-Tucson-AZ-85716/8454849_zpid/
"2868 E Sierra Vista Rd, Tucson, AZ 85716",1985,350000,3,2,1446,Townhouse,/homedetails/2868-E-Sierra-Vista-Rd-Tucson-AZ-85716/8457169_zpid/
"1501 N Atwood Ave, Tucson, AZ 85745",1986,459995,3,2,2170,Single Family,/homedetails/1501-N-Atwood-Ave-Tucson-AZ-85745/8477852_zpid/
"1981 W Applecreek Pl, Tucson, AZ 85746",1986,266500,3,2,1390,Single Family,/homedetails/1981-W-Applecreek-Pl-Tucson-AZ-85746/8566718_zpid/
