"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2021","87","PM2.5","GERONIMO","04-019-1113","AQS","115","35","62.2","01/01/2018","01/01/2001"
"01/02/2021","55","PM2.5","GERONIMO","04-019-1113","AQS","57","31","43.2","01/02/2015","01/02/2016"
"01/03/2021","51","PM2.5","GERONIMO","04-019-1113","AQS","67","29","43.6","01/03/2015","01/03/2005"
"01/04/2021","47","PM2.5","GERONIMO","04-019-1113","AQS","55","27","40.4","01/04/2015","01/04/2008"
"01/05/2021","47","PM2.5","GERONIMO","04-019-1113","AQS","52","28","36","01/05/2013","01/05/2000"
"01/06/2021","56","PM2.5","GERONIMO","04-019-1113","AQS","55","25","39.4","01/06/2011","01/06/2001"
"01/07/2021","58","PM2.5","GERONIMO","04-019-1113","AQS","52","31","37.6","01/07/2013","01/07/2004"
"01/08/2021","53","PM2.5","GERONIMO","04-019-1113","AQS","55","31","35.4","01/08/2013","01/08/2001"
"01/09/2021","56","PM2.5","GERONIMO","04-019-1113","AQS","47","24","33.8","01/09/2016","01/09/2017"
"01/10/2021","53","PM2.5","GERONIMO","04-019-1113","AQS","59","28","34.8","01/10/2009","01/10/2019"
"01/11/2021","36","Ozone","SAGUARO PARK","04-019-0021","AQS","70","32","37","01/11/2006","01/11/2004"
"01/12/2021","56","PM2.5","GERONIMO","04-019-1113","AQS","61","31","42","01/12/2018","01/12/2015"
"01/13/2021","54","PM2.5","GERONIMO","04-019-1113","AQS","67","30","40.6","01/13/2009","01/13/2015"
"01/14/2021","55","PM2.5","GERONIMO","04-019-1113","AQS","76","31","35.2","01/14/2002","01/14/2004"
"01/15/2021","55","PM2.5","GERONIMO","04-019-1113","AQS","63","31","36.2","01/15/2002","01/15/2004"
"01/16/2021","45","PM2.5","GERONIMO","04-019-1113","AQS","61","28","37.4","01/16/2002","01/16/2019"
"01/17/2021","53","PM2.5","GERONIMO","04-019-1113","AQS","69","30","41.2","01/17/2010","01/17/2000"
"01/18/2021","43","PM2.5","GERONIMO","04-019-1113","AQS","44","32","37.6","01/18/2004","01/18/2012"
"01/19/2021","62","PM2.5","ROSE ELEMENTARY","04-019-1032","AQS","59","33","39.4","01/19/2008","01/19/2007"
