ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2020,"2020","true","true",16330281,93589.07647025918,786644,"United States","01000US","united-states",0.11016978544901299
2,"$10-20k",2020,"2020","true","true",18047174,97743.48311569727,789351,"United States","01000US","united-states",0.12175254593236977
3,"$20-30k",2020,"2020","true","true",20352479,102875.52676728423,864001,"United States","01000US","united-states",0.13730493950382985
4,"$30-40k",2020,"2020","true","true",19115220,100180.67827181323,834111,"United States","01000US","united-states",0.1289579576867466
5,"$40-50k",2020,"2020","true","true",15408130,91225.48461689966,694450,"United States","01000US","united-states",0.10394863237628921
6,"$50-60k",2020,"2020","true","true",13128621,84927.02484353623,611145,"United States","01000US","united-states",0.08857026764030615
7,"$60-70k",2020,"2020","true","true",9746953,74086.5329139754,457195,"United States","01000US","united-states",0.06575635292446061
8,"$70-80k",2020,"2020","true","true",7151890,64054.081534081255,336517,"United States","01000US","united-states",0.04824915057217579
9,"$80-90k",2020,"2020","true","true",5915726,58510.64119755533,281355,"United States","01000US","united-states",0.03990955600795527
10,"$90-100k",2020,"2020","true","true",4179982,49482.37049442148,201380,"United States","01000US","united-states",0.028199620087415285
11,"$100-110k",2020,"2020","true","true",4307615,50209.88701800759,207952,"United States","01000US","united-states",0.029060676931826835
12,"$110-120k",2020,"2020","true","true",2059203,34985.37698863254,100386,"United States","01000US","united-states",0.01389210343079607
13,"$120-130k",2020,"2020","true","true",2114430,35444.72186612619,102330,"United States","01000US","united-states",0.014264684082714592
14,"$130-140k",2020,"2020","true","true",1666037,31511.029844047032,81885,"United States","01000US","united-states",0.011239668125742432
15,"$140-150k",2020,"2020","true","true",1106018,25723.46796958681,54518,"United States","01000US","united-states",0.007461584143147717
16,"$150-160k",2020,"2020","true","true",1152867,26258.43669569568,56334,"United States","01000US","united-states",0.007777643877729186
17,"$160-170k",2020,"2020","true","true",911439,23366.799224435217,45608,"United States","01000US","united-states",0.006148886175312167
18,"$170-180k",2020,"2020","true","true",590807,18833.469882408906,29445,"United States","01000US","united-states",0.003985790595506288
19,"$180-190k",2020,"2020","true","true",515229,17592.145498006077,25774,"United States","01000US","united-states",0.0034759149819350633
20,"$190-200k",2020,"2020","true","true",393160,15373.85201819406,19804,"United States","01000US","united-states",0.0026523948269557606
21,"$200k+",2020,"2020","true","true",4035048,48641.39437249888,207464,"United States","01000US","united-states",0.027221844647772376
1,"< $10K",2020,"2020","true","true",8823,2172.2996297750324,378,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.11288238379754609
2,"$10-20k",2020,"2020","true","true",13527,2597.089969288151,521,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.17306585125574137
3,"$20-30k",2020,"2020","true","true",15484,2736.3089340756223,633,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.19810391371655942
4,"$30-40k",2020,"2020","true","true",13092,2563.5563082182407,447,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.1675004158083955
5,"$40-50k",2020,"2020","true","true",7222,1987.8699317892995,297,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.09239902253041798
6,"$50-60k",2020,"2020","true","true",6175,1851.626433129799,255,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.07900359514335795
7,"$60-70k",2020,"2020","true","true",4340,1571.9397333110644,179,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.05552641342869206
8,"$70-80k",2020,"2020","true","true",2347,1171.445808946573,114,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.030027763206714346
9,"$80-90k",2020,"2020","true","true",2206,1136.766313632983,93,"Yuma City PUMA, AZ","79500US0400700","yuma-city-puma-az",0.028223794475505687
